StandID,Year,Period,BA_ft2ac,Tpa,QMD_in,Cords_ac,forest_type,density_class
S3B-N,2101,15,237.45924854999998,445.53792938486106,9.892073228346456,39.55606361607143,Commercial Softwood,A+B (high)
S3B-N,2106,16,238.51150049999998,420.89362595539757,10.200080708661417,40.08536830357142,Commercial Softwood,A+B (high)
S3B-N,2111,17,244.25718494999998,403.982905617616,10.536037007874016,41.38462834821428,Commercial Softwood,A+B (high)
S3B-N,2116,18,246.57666149999997,383.19177606213225,10.869335433070866,42.05885267857143,Commercial Softwood,A+B (high)
S3B-N,2121,19,249.95696819999998,365.03769955714677,11.21240748031496,42.94351897321428,Commercial Softwood,A+B (high)
S3D-N,2026,0,142.08555074999998,2523.4565766658698,3.2152307086614176,13.200275669642854,Commercial Softwood,C+D (low)
S3D-N,2031,1,154.47063149999997,2266.440320596552,3.5374141732283464,15.411995535714283,Commercial Softwood,C+D (low)
S3D-N,2036,2,165.25134524999999,2002.0555483534124,3.892866535433071,17.55477232142857,Commercial Softwood,C+D (low)
S3D-N,2041,3,173.76456495,1720.4987502533002,4.3061440944881895,19.518953124999996,Commercial Softwood,C+D (low)
S3D-N,2046,4,180.80585339999996,1486.1076590700768,4.726244881889763,21.444112723214285,Commercial Softwood,C+D (low)
S3D-N,2051,5,186.88118955,1289.4296275724084,5.1584480314960635,23.43307589285714,Commercial Softwood,C+D (low)
S3D-N,2056,6,191.34656895,1117.7176245897806,5.60633937007874,25.175002232142855,Commercial Softwood,C+D (low)
S3D-N,2061,7,195.44186774999997,973.7961535621753,6.070296062992126,26.830357142857142,Commercial Softwood,C+D (low)
S3D-N,2066,8,198.79550024999998,851.5277925080147,6.546949212598425,28.33223883928571,Commercial Softwood,C+D (low)
S3D-N,2071,9,201.40506089999997,748.0360763508547,7.030869291338583,29.660546875,Commercial Softwood,C+D (low)
S3D-N,2076,10,202.74312959999997,661.0886781509964,7.503749212598424,30.664040178571426,Commercial Softwood,C+D (low)
S3D-N,2081,11,204.23210849999998,588.3531517408519,7.983219685039369,31.67431026785714,Commercial Softwood,C+D (low)
S3D-N,2086,12,202.16802044999997,508.326404114553,8.545155511811023,32.157015625,Commercial Softwood,C+D (low)
S3D-N,2091,13,202.43879925,454.1983640029546,9.04605433070866,32.89148772321428,Commercial Softwood,C+D (low)
S3D-N,2096,14,201.65110124999998,407.1589837561461,9.535718110236221,33.32196651785714,Commercial Softwood,C+D (low)
S3D-N,2101,15,202.24914794999998,369.3920361304708,10.026161417322834,33.92806026785714,Commercial Softwood,C+D (low)
S3D-N,2106,16,202.6175625,335.3688030062634,10.532035826771653,34.550609375,Commercial Softwood,C+D (low)
S3D-N,2111,17,203.14198109999998,303.57637520373993,11.084113385826772,35.11046316964285,Commercial Softwood,C+D (low)
S3D-N,2116,18,203.99607749999998,281.8236478126022,11.52808779527559,35.716513392857145,Commercial Softwood,C+D (low)
S3D-N,2121,19,202.7341425,260.3797400819107,11.956248818897638,35.89510602678571,Commercial Softwood,C+D (low)
S4C-N,2026,0,168.22491389999996,1792.0027777855582,4.151556299212598,23.049643973214284,Commercial Softwood,C+D (low)
S4C-N,2031,1,171.58621545,1569.007027259219,4.480885433070866,24.20696651785714,Commercial Softwood,C+D (low)
S4C-N,2036,2,176.3190024,1383.371814755484,4.837435629921259,25.643013392857142,Commercial Softwood,C+D (low)
S4C-N,2041,3,180.0351639,1219.6989325244258,5.2057996062992125,26.956133928571425,Commercial Softwood,C+D (low)
S4C-N,2046,4,182.00595749999997,1077.5475564959577,5.568775196850393,27.938762276785713,Commercial Softwood,C+D (low)
S4C-N,2051,5,184.53161099999997,959.7505266342916,5.941434251968504,29.06334821428571,Commercial Softwood,C+D (low)
S4C-N,2056,6,186.86690849999997,858.6368242480348,6.321156692913386,30.134981026785713,Commercial Softwood,C+D (low)
S4C-N,2061,7,188.86307129999997,772.0278241822136,6.701810236220472,31.177126116071427,Commercial Softwood,C+D (low)
S4C-N,2066,8,190.24507499999999,696.9941284783789,7.079086614173228,32.049002232142854,Commercial Softwood,C+D (low)
S4C-N,2071,9,192.0784695,636.9645981146265,7.440751968503936,32.9430546875,Commercial Softwood,C+D (low)
S4C-N,2076,10,192.31239945,584.9350149322752,7.769354724409449,33.54229241071428,Commercial Softwood,C+D (low)
S4C-N,2081,11,194.27328809999997,542.6169563865955,8.107649606299214,34.40825223214285,Commercial Softwood,C+D (low)
S4C-N,2086,12,194.83121039999997,502.85699672261376,8.434165748031496,34.944453124999995,Commercial Softwood,C+D (low)
S4C-N,2091,13,193.4901228,466.311536052036,8.728234645669291,35.04206808035714,Commercial Softwood,C+D (low)
S4C-N,2096,14,194.03486894999998,436.68195066443934,9.03217598425197,35.54234821428571,Commercial Softwood,C+D (low)
S4C-N,2101,15,194.72416124999998,415.885641132735,9.271672047244094,35.98715625,Commercial Softwood,C+D (low)
S4C-N,2106,16,195.48927405,393.66945155668367,9.548402755905512,36.40603348214285,Commercial Softwood,C+D (low)
S4C-N,2111,17,195.0432555,373.6930553704303,9.789106299212598,36.44940513392857,Commercial Softwood,C+D (low)
S4C-N,2116,18,195.42237104999998,356.2164833333931,10.03610590551181,36.74071428571428,Commercial Softwood,C+D (low)
S4C-N,2121,19,196.44228074999998,342.2050361548527,10.266192125984253,37.09216071428571,Commercial Softwood,C+D (low)
