PLOTid,FOLDER_GDRIVE,DATA_ENTERED,N_PLOT_YEARS,N_TREE_RECORDS,YEAR_RANGE,ENTRY_STATUS,NOTES
1286,plot_1286,Y,4,102,1987-2001,COMPLETE,
1287,plot_1287,Y,4,38,1987-2001,COMPLETE,
1901,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1902,YES,0,0,0,,SCANNED_PENDING,PDFs in Drive; data entry pending
1111,plot_1111,Y,4,64,1986-2000,COMPLETE,
1112,plot_1112,Y,4,83,1986-2000,COMPLETE,
1113,plot_1113,Y,3,3,1990-2000,COMPLETE,
1114,plot_1114,Y,3,69,1986-1995,COMPLETE,
1115,plot_1115,Y,4,100,1986-2000,COMPLETE,
1116,plot_1116,Y,4,58,1986-2000,COMPLETE,
1117,plot_1117,Y,4,87,1986-2000,COMPLETE,
1118,plot_1118,Y,3,65,1990-2000,COMPLETE,
1119,plot_1119,Y,4,151,1986-2000,COMPLETE,
1120,plot_1120,Y,4,50,1986-2000,COMPLETE,
1121,plot_1121,Y,4,64,1986-2000,COMPLETE,
1122,plot_1122,Y,4,76,1986-2000,COMPLETE,
1123,plot_1123,Y,4,44,1986-2000,COMPLETE,
1124,plot_1124,Y,4,61,1986-2000,COMPLETE,
1125,plot_1125,Y,4,2,1986-2000,COMPLETE,
1126,plot_1126,Y,4,50,1986-2000,COMPLETE,
1127,plot_1127,Y,4,63,1986-2000,COMPLETE,
1128,plot_1128,Y,4,17,1986-1999,COMPLETE,
1129,plot_1129,Y,4,23,1986-1999,COMPLETE,
1130,plot_1130,Y,4,82,1986-1999,COMPLETE,
1131,plot_1131,Y,3,12,1986-1999,COMPLETE,
1132,plot_1132,Y,4,9,1986-1999,COMPLETE,
1133,plot_1133,Y,4,91,1986-1999,COMPLETE,
1134,plot_1134,Y,4,70,1986-1999,COMPLETE,
1135,plot_1135,Y,4,7,1986-1999,COMPLETE,
1136,plot_1136,Y,4,43,1986-1999,COMPLETE,
1137,plot_1137,Y,4,22,1986-1999,COMPLETE,
1138,plot_1138,Y,4,8,1986-1999,COMPLETE,
1139,plot_1139,Y,4,140,1986-2000,COMPLETE,
1210,plot_1210,Y,3,1,1982-1992,COMPLETE,
1211,plot_1211,Y,2,3,1997-2002,COMPLETE,
1212,plot_1212,Y,0,0,?,COMPLETE,
1213,plot_1213,Y,0,0,?,COMPLETE,
1214,plot_1214,Y,0,0,?,COMPLETE,
1215,plot_1215,Y,0,0,?,COMPLETE,
1216,plot_1216,Y,4,0,1987-2001,COMPLETE,
1217,plot_1217,Y,4,209,1987-2001,COMPLETE,
1218,plot_1218,Y,4,85,1987-2001,COMPLETE,
1219,plot_1219,Y,4,84,1987-2001,COMPLETE,
1220,plot_1220,Y,4,96,1987-2001,COMPLETE,
1221,plot_1221,Y,4,88,1987-2001,COMPLETE,
1222,plot_1222,Y,4,136,1987-2001,COMPLETE,
1223,plot_1223,Y,4,60,1987-2001,COMPLETE,
1224,plot_1224,Y,4,51,1987-2001,COMPLETE,
1225,plot_1225,Y,4,123,1987-2001,COMPLETE,
1227,plot_1227,Y,4,40,1987-2001,COMPLETE,
1228,plot_1228,Y,4,214,1987-2001,COMPLETE,
1229,plot_1229,Y,2,10,1987-1991,COMPLETE,
